,name,ingredients,instructions,time,serving_size,tags,calories,protein,carbohydrates,fiber,fat,sodium
0,vaal ki usal recipe,"['two', 'sprout', 'vaal', 'field', 'bean', 'butter', 'bean', 'one', 'oil', 'one', 'cumin', 'seed', 'jeera', 'asafoetida', 'hing', 'five', 'six', 'curri', 'leav', 'kadi', 'patta', 'zero', 'point', 'five', 'fine', 'chop', 'onion', 'two', 'gingergarl', 'adraklehsun', 'past', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'tomato', 'zero', 'point', 'five', 'turmer', 'powder', 'haldi', 'two', 'malvani', 'masala', 'five', 'kokum', 'zero', 'point', 'five', 'chop', 'jaggeri', 'gur', 'salt', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'coriand', 'dhania']","For vaal ki usal To make vaal ki usal recipe, heat the oil in a non-stick kadhai and add the cumin seeds.When the seeds crackle, add the asafoetida, curry leaves and onions and sauté on a medium flame for 2 minutes.Add ginger garlic paste and mix well. Add tomatoes and cook on a medium flame for 2 to 3 minutes.Add the sprouted vaal, turmeric powder, malvani masala, coriander cumin seeds powder and salt to taste.Mix well and sauté on a medium flame for 2 to 3 minutes.Add 1 cup hot water, kokum, jaggery and mix well.Cover and cook on a medium flame for 12 to 15 minutes or till the dal is cooked, while stirring occasionally.Add coriander and mix well. Serve the vaal ki usal recipe hot.",34 Mins,4 servings,"['nonstick', 'pan', 'boil', 'indian', 'recip', 'saut', 'indian', 'veg', 'recip', 'maharashtrian', 'recip', 'maharashtrian', 'dal', 'varan', 'amti', 'kalvan', 'proteinrichfoodsforpregn', 'pregnancydalsandveget', 'lowcaloriedalkadhisforweightloss', 'ironrichvegetablesd', 'lowcholesterolsubzisd', 'diabeticdalkadhirecip', 'highproteind', 'calciumrichdalkadhi']",195.0,10.3,30.5,7.9,4.1,8.8
1,capsicum paneer sabzi recipe,"['two', 'zero', 'point', 'five', 'capsicum', 'cube', 'zero', 'point', 'five', 'lowfat', 'paneer', 'cottag', 'chees', 'cube', 'two', 'coconut', 'oil', 'oil', 'zero', 'point', 'five', 'onion', 'cube', 'zero', 'point', 'five', 'ginger', 'adrak', 'past', 'one', 'garlic', 'lehsun', 'past', 'two', 'dri', 'fenugreek', 'leav', 'kasuri', 'methi', 'one', 'zero', 'point', 'two', 'five', 'fresh', 'tomato', 'pulp', 'zero', 'point', 'five', 'turmer', 'powder', 'haldi', 'zero', 'point', 'five', 'chilli', 'powder', 'one', 'garam', 'masala', 'salt', 'roti', 'whole', 'wheat', 'paratha']","For capsicum paneer sabziTo make capsicum paneer sabzi, heat the oil in a deep non-stick kadhai, add the onions and sauté on a medium flame for 2 minutes.Add the ginger paste, garlic paste and dried fenugreek leaves and sauté on a medium flame for a few seconds.Add the capsicum, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally.Add the tomato pulp, turmeric powder chilli powder and garam masala, mix well and cook on a medium flame for another 3 to 4 minutes, while stirring occasionally.Add the paneer and salt, mix gently and cook on a medium flame for 1 more minute.Serve the capsicum paneer sabzi immediately with roti or whole wheat paratha.",26 Mins,4 servings,"['non', 'stick', 'kadai', 'veg', 'antioxid', 'rich', 'indian', 'antioxid', 'indian', 'gout', 'indian', 'recip', 'healthi', 'heart', 'recip', 'healthi', 'heart', 'sabzi', 'healthi', 'sabzi', 'healthi', 'paneer', 'sabzi', 'goutdiet', 'vitaminerich', 'glowingskinvitaminarich', 'healthypaneersabzi', 'vitaminerichrecipesforhairgrowth', 'vitaminarichrecipesforhealthyey', 'vitaminerichrecipesforglowingskin', 'vegetablesformarathonersenduranceathletestriathlet', 'sabzisforcancerpati', 'potassiumrichhealthi', 'potassiumrichindian', 'magnesiumrichhealthi']",74.0,2.6,9.5,3.2,2.9,21.8
2,restaurant style palak paneer recipe,"['one', 'slice', 'onion', 'three', 'roughli', 'chop', 'cashew', 'nut', 'kaju', 'one', 'zero', 'point', 'five', 'roughli', 'chop', 'green', 'chilli', 'one', 'paneer', 'cottag', 'chees', 'cube', 'six', 'wash', 'chop', 'spinach', 'palak', 'two', 'oil', 'one', 'butter', 'one', 'ginger', 'adrak', 'past', 'one', 'garlic', 'lehsun', 'past', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'tomato', 'salt', 'one', 'dri', 'fenugreek', 'leav', 'kasuri', 'methi', 'one', 'punjabi', 'garam', 'masala', 'one', 'sugar', 'zero', 'point', 'two', 'five', 'fresh', 'cream']","For the onion-cashew paste Combine all the ingredients with 1 cup of water and simmer for about 15 minutes.Cool and blend to a smooth paste. Keep aside.How to proceed To make the restaurant style palak paneer recipe, blanch the spinach in a vesselful of boiling water for 2 to 3 minutes.Drain, refresh with cold water and keep aside to cool for some time.Blend in a mixer to a smooth purée and keep aside.Heat the oil and butter in a kadhai , add the ginger, garlic and tomatoes and sauté on a medium flame for 1 to 2 minutes.Add the prepared onion-cashew and cook on a medium flame for 3 to 4 minutesAdd the spinach purée, ¾ cup of water, salt and cook on a medium flame for 1 minute.Add the dried fenugreek leaves, punjabi garam masala, sugar and cook on a medium flame for 3 minutes.Add the paneer cubes and cream and cook on a medium flame for 2-3 minutesServe the restaurant style palak paneer hot.",46 Mins,4 servings,"['nonstick', 'pan', 'indian', 'dinner', 'indian', 'lunch', 'lunch', 'sabzi', 'indian', 'veg', 'recip', 'north', 'indian', 'vegetarian', 'food', 'healthypregn', 'vitaminarichindianvegetarianrecip', 'pregnancyfolicacidrich', 'preconceptionindianrecipesdiet']",374.0,13.3,16.4,4.2,28.4,98.6
3,beetroot and dill salad recipe,"['one', 'oliv', 'oil', 'one', 'vinegar', 'mustard', 'rai', 'sarson', 'powder', 'salt', 'two', 'boil', 'beetroot', 'cube', 'two', 'fine', 'chop', 'dill', 'leav']","For beetroot and dill saladTo make beetroot and dill salad, combine the beetroot, dill and dressing in a bowl and toss gently.Refrigerate the beetroot and dill salad for 1 hour and serve chilled.",15 Mins,4 servings,"['refriger', 'indian', 'salad', 'indian', 'salad', 'dress', 'antioxid', 'rich', 'indian', 'anthocyanin', 'type', 'flavonoid', 'antioxid', 'rich', 'flavonoid', 'antioxidantrichflavonoid', 'anthocyaninsatypeofflavonoid']",92.0,0.1,0.4,0.0,10.0,0.0
4,how to eat flaxseeds,"['one', 'flax', 'seed', 'one', 'lemon', 'juic', 'zero', 'point', 'five', 'salt']","For flaxseeds mukhwas Combine all the ingredients in a deep bowl, add the lemon juice and salt and mix well. Cover with a lid and keep aside for 1 hour.Dry roast it on a broad non-stick pan for 3 minutes till it starts giving a good aroma.Cool the flaxseeds mukhwas completely and store in an air-tight container.",5 Mins,4 servings,"['indian', 'dinner', 'indian', 'veg', 'recip', 'high', 'fiber', 'indian', 'diabet', 'recip', 'parti', 'indian', 'parti', 'indiandiabeticrecip', 'highfib']",68.0,2.3,3.9,3.4,5.3,114.5
5,Cabbage Rolls in Tomato Gravy recipe,"['two', 'oil', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'onion', 'one', 'fine', 'chop', 'green', 'chilli', 'one', 'zero', 'point', 'five', 'fine', 'chop', 'boil', 'mix', 'veget', 'french', 'bean', 'carrot', 'cauliflow', 'green', 'pea', 'salt', 'six', 'larg', 'cabbag', 'leav', 'one', 'zero', 'point', 'five', 'tomato', 'gravi', 'salt', 'zero', 'point', 'two', 'five', 'oil', 'greas', 'zero', 'point', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'crumbl', 'low', 'fat', 'paneer', 'cottag', 'chees']","For the stuffing Heat the oil in a deep non-stick pan, add the onions and green chillies and sauté on a medium flame for 1 minute.Add the mixed vegetables, salt and pepper, mix well and cook on a medium flame for another 2 to 3 minutes, while stirring occasionally. Keep aside to cool slightly.How to proceed Boil a vesselful of water, add a little salt and immerse 3 cabbage leaves in it for a minute. Drain thoroughly and keep aside.Repeat step 1 with the remaining 3 cabbage leaves.Divide the stuffing into 6 equal portions and keep aside.Place a cabbage leaf on a clean, dry surface, place a portion of the stuffing at one end of the leaf, top it with 1 tbsp of the tomato gravy and roll it up tightly.Repeat step 4 to make 5 more rolls.Arrange the rolls on a greased baking tray.Pour the remaining tomato gravy evenly over the cabbage rolls.Sprinkle the paneer evenly over it and bake in a pre-heated oven at 200°c (400°f) for 10 minutes.Serve immediately.Variation: Cabbage rolls in low-cal white sauceInstead of tomato gravy, use 1 cup of low-calorie white sauce, and bake before serving as per the recipe.",31 Mins,4 servings,"['oven', 'vegetarian', 'bake', 'indian', 'recip', 'main', 'cours', 'recip', 'casserol', 'bake', 'one', 'dish', 'vegetarian', 'meal', 'lowcalorieintern']",70.0,2.2,7.7,3.0,3.3,23.1
6,Stuffed Mushrooms with Spinach,"['ten', 'fresh', 'larg', 'mushroom', 'khumb', 'one', 'low', 'fat', 'butter', 'one', 'zero', 'point', 'five', 'chop', 'spinach', 'palak', 'zero', 'point', 'five', 'chop', 'onion', 'two', 'chop', 'green', 'chilli', 'one', 'low', 'fat', 'milk', 'one', 'plain', 'flour', 'maida', 'one', 'low', 'fat', 'butter', 'salt', 'two', 'grate', 'mozzarella', 'chees']","For the spinach fillingHeat the butter and fry the onions for ½ minute.  Add the green chillies and fry for a few seconds. Add the chopped spinach and mushroom stalks and sauté for a couple of minutes.Add the plain flour and sauté for some more time.Add the milk and heat till the mixture thickens. Keep aside. How to proceedStuff the cavities of the mushroom caps with the stuffing.Put a little butter in a large frying pan, arrange the stuffed mushrooms and cook for 3 to 4 minutes. When required to serve, top each mushroom with the cheese and cook for 3 to 4 minutes. Serve hot.Main ProcedureRemove the stems from the mushrooms and wash thoroughly.Chop the stalks finely and keep aside.",15 Mins,4 servings,"['vegetarian', 'bake', 'indian', 'recip', 'starter', 'snack', 'indian', 'snack', 'entertain', 'quick', 'even', 'snack', 'indian', 'healthi', 'veg', 'snack', 'healthi', 'indian', 'grill', 'veget', 'low', 'calori', 'indian', 'snack', 'starter', 'healthyindiangrilledveget']",26.0,1.6,3.2,0.4,0.8,37.0
7,mixed sprouts and mint soup recipe,"['two', 'mix', 'sprout', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'mint', 'leav', 'phudina', 'one', 'roughli', 'chop', 'tomato', 'zero', 'point', 'five', 'roughli', 'chop', 'onion', 'one', 'roughli', 'chop', 'garlic', 'lehsun', 'salt', 'one', 'lemon', 'juic']","For mixed sprouts and mint soupTo make mixed sprouts and mint soup, combine the mixed sprouts, tomatoes, onions, garlic and 1½ cups of water in a pressure cooker, mix well and pressure cook for 3 whistles.Allow the steam to escape before opening the lid.Cool and blend in a mixer till smooth using 2½ cups of water.Transfer the mixture into a deep non-stick pan and add the salt and pepper. Mix well and cook on a medium flame for 3 minutes, while stirring occasionally.Switch off the flame, add the mint leaves and lemon juice and mix well.Serve the mixed sprouts and mint soup hot.",33 Mins,4 servings,"['mixer', 'pressur', 'cooker', 'indian', 'comfort', 'food', 'comfort', 'food', 'soup', 'easi', 'simpl', 'indian', 'soup', 'healthi', 'indian', 'acid', 'recip', 'indian', 'acid', 'soup', 'pregnanc', 'hypothyroid', 'diet', 'diettipsforpregnancyhypothyroid', 'soupstoreduceacid', 'pregnancytoovercomeheartburn', 'sproutshealthyheart']",69.0,3.9,12.1,3.3,0.5,7.0
8,broccoli paneer tikki,"['one', 'fine', 'chop', 'broccoli', 'zero', 'point', 'two', 'five', 'crumbl', 'paneer', 'cottag', 'chees', 'two', 'peanut', 'oil', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'onion', 'two', 'fine', 'chop', 'garlic', 'lehsun', 'one', 'fine', 'chop', 'green', 'chilli', 'salt', 'zero', 'point', 'two', 'five', 'roast', 'quick', 'cook', 'roll', 'oat', 'one', 'peanut', 'oil', 'greas', 'cook', 'cook', 'chick', 'pea', 'green', 'chutney']","For broccoli and paneer tikkiTo make broccoli paneer tikki, heat the oil in a broad non-stick pan, add the onions, garlic and green chillies and sauté on a medium flame for 1 to 2 minutes.Add the broccoli and salt and sauté on a medium flame for 3 to 4 minutes, while stirring occasionally.Remove from the flame, transfer to a deep bowl and allow it to cool completely.Once cooled, add the oats and paneer and mix well.Divide the mixture into 11 equal portions and shape each portion into a 50 mm. (2”) diameter flat round tikki.Heat a non-stick tava (griddle), grease it with ½ tsp of oil and cook all the broccoli paneer tikkis using ½ tsp of oil till they turn golden brown in colour from both the sides.Serve broccoli paneer tikki  immediately with green chutney and garlic chutney.",30 Mins,4 servings,"['nonstick', 'pan', 'starter', 'snack', 'low', 'calori', 'indian', 'snack', 'antioxid', 'rich', 'indian', 'vitamin', 'bfive', 'pantothen', 'acid', 'rich', 'kitti', 'parti', 'vitaminbfivepantothenicacidrichrecip']",32.0,1.0,2.0,0.3,2.3,0.8
9,chana soya masala recipe,"['one', 'soak', 'kabuli', 'chana', 'white', 'chick', 'pea', 'zero', 'point', 'five', 'soy', 'chunk', 'nugget', 'zero', 'point', 'two', 'five', 'turmer', 'powder', 'haldi', 'salt', 'two', 'coconut', 'oil', 'zero', 'point', 'five', 'cumin', 'seed', 'jeera', 'one', 'gingergarl', 'adraklehsun', 'past', 'zero', 'point', 'five', 'fine', 'chop', 'onion', 'one', 'fine', 'chop', 'tomato', 'one', 'chilli', 'powder', 'one', 'zero', 'point', 'five', 'coriandercumin', 'seed', 'dhaniajeera', 'powder', 'zero', 'point', 'five', 'garam', 'masala', 'one', 'dri', 'fenugreek', 'leav', 'kasuri', 'methi', 'two', 'fine', 'chop', 'coriand', 'dhania']","For chana soya masalaTo make chana soya masala, soak the soya nuggets in warm water for 10 minutes, drain well and keep aside.Combine the soya nuggets, kabuli chana, turmeric powder, salt and 1 cup of water in a pressure cooker, mix well and pressure cook for 3 whistles.Allow the steam to escape before opening the lid. Keep aside and do not drain the water.Heat the oil in a non-stick kadhai and add the cumin seeds.When the seeds crackle, add the ginger-garlic paste and onions and sauté on a medium flame for 1 to 2 minutes.Add the tomatoes, chilli powder, coriander-cumin seeds powder, garam masala and dried fenugreek leaves, mix well and cook on a medium flame for 2 minutes, while stirring occasionally.Add the cooked kabuli chana-soya nugget mixture (along with the water they were cooked in) and a little salt, mix well and cook on a medium flame for another 3 minutes, while stirring occasionally.Serve the chana soya masala hot garnished with coriander.",32 Mins,4 servings,"['non', 'stick', 'kadai', 'veg', 'indian', 'dinner', 'dinner', 'sabzi', 'indian', 'lunch', 'lunch', 'sabzi', 'main', 'cours', 'recip', 'sabzi', 'curri', 'easi', 'vegetarian', 'curri', 'semidri', 'sabzi', 'healthysabzi', 'healthysabziswithsproutsandbean', 'healthysoyasabzi']",151.0,7.9,17.6,8.6,5.4,10.8
10,quinoa brown rice vegetable salad with balsamic dressing recipe,"['zero', 'point', 'five', 'quinoa', 'wash', 'drain', 'zero', 'point', 'five', 'soak', 'cook', 'brown', 'rice', 'zero', 'point', 'five', 'boil', 'kabuli', 'chana', 'white', 'chick', 'pea', 'zero', 'point', 'five', 'color', 'capsicum', 'cube', 'zero', 'point', 'five', 'blanch', 'broccoli', 'floret', 'salt', 'one', 'balsam', 'vinegar', 'one', 'oliv', 'oil', 'zero', 'point', 'five', 'lemon', 'juic', 'one', 'sesam', 'seed', 'til', 'salt']","For quinoa brown rice salad To maake quinoa brown rice vegetable salad with balsamic dressing recipe, heat 1 cup of water in a deep non-stick pan and bring it to boil, add the quinoa and little salt, mix gently and cook on medium flame for 8 to 10 minutes, while stirring occasionally.Transfer it to a plate and let it cool completely.Combine the quinoa, brown rice, kabuli channa, colored capsicum , broccoli and salt in a deep bowl and mix well.Add the balsamic dressing and toss well.Serve the quinoa brown rice vegetable salad with balsamic dressing immediately.",30 Mins,4 servings,"['indian', 'dinner', 'indian', 'salad', 'indian', 'salad', 'dress', 'wholesom', 'salad', 'salad', 'make', 'meal', 'main', 'cours', 'recip', 'indian', 'rice', 'marathon', 'endur', 'athlet', 'triathlet', 'marathon', 'athlet', 'triathlet', 'rice', 'khichdi', 'riceandkhichdimarathonersenduranceathletestriathlet']",205.0,6.5,30.8,9.1,7.2,5.5
11,Jain avocado dip recipe,"['two', 'ripe', 'avocado', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'colour', 'capsicum', 'zero', 'point', 'two', 'five', 'deseed', 'fine', 'chop', 'tomato', 'one', 'fine', 'chop', 'green', 'chilli', 'one', 'lemon', 'juic', 'zero', 'point', 'five', 'chaat', 'masala', 'freshli', 'ground', 'black', 'pepper', 'kalimirch', 'salt']","For jain avocado dip To make jain avocado dip, first with a sharp knife cut the avocados into halves, remove the seeds and scoop out the flesh into a bowl with the help of a spoon.Mash well using a fork or a masher to a slightly chunky consistency.Add chopped coloured capsicum, chopped tomatoes, chopped green chillies, lemon juice, chaat masala, black pepper powder and salt.Mix well and refrigerate indian style jain guacamole | healthy jain guacamole | mexican guacamole | for at least 1 hour.",10 Mins,4 servings,"['presssur', 'cooker', 'soup', 'side', 'dish', 'indian', 'vegetarian', 'dip', 'indian', 'sauc', 'jain', 'jain', 'intern', 'lebanes', 'dip', 'b', 'vitamin', 'vitamin', 'bfive', 'pantothen', 'acid', 'rich', 'insolublefiberdiet', 'hypothyroidismvegdietindianrecip', 'vitaminkdiet', 'goutdiet', 'vitaminbsixdiet', 'hairgrowthhypothyroidismdiet', 'manganesediet', 'vitaminbfivepantothenicacidrichrecip', 'dipsforhealthybreakfast']",24.0,0.3,1.4,1.0,2.1,1.2
12,herb cheese and roasted capsicum sandwich recipe,"['one', 'medium', 'red', 'capsicum', 'one', 'medium', 'yellow', 'capsicum', 'one', 'medium', 'green', 'capsicum', 'eight', 'whole', 'wheat', 'bread', 'slice', 'multigrain', 'bread', 'slice', 'zero', 'point', 'seven', 'five', 'oil', 'brush', 'salt', 'one', 'dri', 'mix', 'herb', 'four', 'big', 'iceberg', 'lettuc', 'leav', 'zero', 'point', 'seven', 'five', 'grate', 'low', 'fat', 'paneer', 'cottag', 'chees', 'one', 'low', 'fat', 'curd', 'dahi', 'one', 'fine', 'chop', 'parsley', 'fine', 'chop', 'coriand', 'dhania', 'one', 'fine', 'chop', 'dill', 'leav', 'one', 'fine', 'chop', 'garlic', 'lehsun', 'one', 'fine', 'chop', 'green', 'chilli', 'salt']","For the herb cheeseCombine all the ingredients in a mixer and blend till smooth.Divide the herb cheese into 4 equal portions and keep aside.How to packWrap the herb cheese and roasted capsicum sandwich in an aluminium foil and pack in a tiffin box.How to proceedTo make herb cheese and roasted capsicum sandwich, pierce the red capsicum with a fork, brush it using ¼ tsp of oil evenly over it and roast it over an open flame till it turns black from all the sides.Cool, wash it in cold water and remove the skin, stem and seeds and discard them. Cut the capsicum into thin slices and keep aside.Repeat steps 1 and 2 for yellow and green capsicum.Combine the red, yellow and green capsicum slices, salt and dried mixed herbs in a bowl and mix well.Divide the capsicum mixture into 4 equal portions and keep aside.Place a bread slice on a flat, dry surface and spread a portion of the herb cheese evenly over it.Place a portion of the roasted capsicum mixture and a lettuce leaf over it and sandwich it using another bread slice.Repeat steps 6 and 7 to make 3 more herb cheese and roasted capsicum sandwiches.",19 Mins,4 servings,"['mixer', 'indian', 'breakfast', 'recip', 'vegetarian', 'breakfast', 'sandwich', 'indian', 'travel', 'food', 'indian', 'travel', 'food', 'sandwich', 'starter', 'snack', 'bread', 'snack', 'paneer', 'base', 'snack', 'sandwich', 'recip', 'healthysandwichbreakfast', 'calciumrichbreakfastrecip', 'healthybreakfastleftoverrecip']",139.0,5.9,25.0,2.3,1.9,24.9
13,peanut tikki recipe,"['zero', 'point', 'five', 'roast', 'powder', 'peanut', 'zero', 'point', 'five', 'besan', 'bengal', 'gram', 'flour', 'zero', 'point', 'five', 'chop', 'spinach', 'palak', 'five', 'whole', 'wheat', 'flour', 'gehun', 'ka', 'atta', 'one', 'zero', 'point', 'five', 'fine', 'chop', 'green', 'chilli', 'one', 'lemon', 'juic', 'salt', 'one', 'warm', 'oil', 'knead', 'two', 'zero', 'point', 'five', 'oil', 'greas', 'cook', 'green', 'chutney']","For peanut tikkiTo make peanut tikki, combine all the ingredients in a deep bowl, mix well and knead into a soft dough using ¼ cup water.Add 1 tsp of warm oil and again knead well.Divide the dough into 8 equal portions and shape each portion into 50 mm. (2”) diameter thin round flat tikkis.Heat a non-stick tava (griddle) and grease it using ½ tsp of oil. Cook each tikki on it using ¼ tsp of oil till they turn golden brown in colour from both the sides.Serve peanut tikki immediately with green chutney.",20 Mins,4 servings,"['tava', 'starter', 'snack', 'even', 'tea', 'snack', 'b', 'vitamin', 'low', 'carb', 'indian', 'diet', 'recip', 'low', 'carb', 'indian', 'snack', 'seniorcitizeneasytochew', 'lowcarbindiansnack', 'vitaminbthreeniacinrichrecip']",128.0,5.1,12.1,3.1,7.1,12.7
14,cabbage and spinach roti recipe,"['zero', 'point', 'seven', 'five', 'whole', 'wheat', 'flour', 'gehun', 'ka', 'atta', 'zero', 'point', 'two', 'five', 'besan', 'bengal', 'gram', 'flour', 'zero', 'point', 'two', 'five', 'maiz', 'flour', 'makai', 'ka', 'atta', 'zero', 'point', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'grate', 'cabbag', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'spinach', 'palak', 'zero', 'point', 'five', 'chop', 'green', 'chilli', 'salt', 'milk', 'bind', 'dough', 'oil', 'cook']","For cabbage and spinach rotiTo make cabbage and spinach roti, combine all the ingredients and knead into soft dough using enough milk.Divide the dough into 6 equal portions.Roll out each portion of the dough into a circle of 125 mm. (5"") diameter and 6 mm. (¼"") thickness.Cook each roti on a hot tava (griddle) using a little ghee till golden brown on both sides.Serve hot.",30 Mins,4 servings,"['tava', 'indian', 'tawa', 'indian', 'breakfast', 'recip', 'paratha', 'breakfast', 'thepla', 'breakfast', 'quick', 'breakfast', 'indian', 'travel', 'food', 'indian', 'travel', 'food', 'paratha', 'healthyquickindianbreakfast']",100.0,3.9,19.9,3.6,0.9,11.0
15,garlic pickle recipe,"['zero', 'point', 'five', 'garlic', 'lehsun', 'clove', 'peel', 'mustard', 'rai', 'sarson', 'oil', 'zero', 'point', 'two', 'five', 'turmer', 'powder', 'haldi', 'two', 'lemon', 'juic', 'one', 'chilli', 'powder', 'one', 'fine', 'chop', 'jaggeri', 'gur', 'zero', 'point', 'five', 'salt', 'two', 'split', 'mustard', 'seed', 'rai', 'na', 'kuria', 'zero', 'point', 'two', 'five', 'split', 'fenugreek', 'seed', 'methi', 'na', 'kuria', 'zero', 'point', 'two', 'five', 'cumin', 'seed', 'jeera', 'zero', 'point', 'two', 'five', 'crush', 'coriand', 'dhania', 'seed', 'zero', 'point', 'two', 'five', 'asafoetida', 'hing']","For garlic pickle To make garlic pickle, heat the oil in a non-stick kadhai, add the garlic cloves and turmeric powder and sauté on a slow flame for 3 to 4 minutes or till they are soft, while stirring continuously.Add the lemon juice and cook on a slow flame for 2 to 3 minutes, while stirring occasionally.Add the chilli powder, jaggery and salt and cook on a slow flame for another 2 to 3 minutes or till the jaggery has dissolved, while stirring occasionallyAdd the masala powder, mix well and cook for another minute.Remove from the flame, cool and store in a sterilised glass jar.Store the garlic pickle in a cool dry place. This garlic pickle is ready for the table after 1 week.",26 Mins,4 servings,"['non', 'stick', 'kadai', 'veg', 'side', 'dish', 'pickl', 'achar', 'spici', 'achar', 'indian', 'veg', 'recip', 'north', 'indian', 'vegetarian', 'food', 'punjabi', 'veganrecipesvegandiet', 'veganindianbreakfast', 'veganindianrecip']",66.0,0.1,1.8,0.1,6.5,221.6
16,Sprouts and Vegetable Salad ( Weight Loss After Pregnancy ),"['one', 'boil', 'mix', 'sprout', 'kala', 'chana', 'chawli', 'zero', 'point', 'five', 'chop', 'cucumb', 'zero', 'point', 'two', 'five', 'chop', 'cabbag', 'zero', 'point', 'two', 'five', 'grate', 'carrot', 'two', 'chop', 'tomato', 'zero', 'point', 'two', 'five', 'freshli', 'ground', 'black', 'pepper', 'kalimirch', 'one', 'lemon', 'juic', 'one', 'sugar', 'two', 'chop', 'coriand', 'dhania', 'salt']",Combine all the ingredients in a serving bowl and toss well. Keep aside for 15 minutes so that the flavours blend well. Serve immediately.,10 Mins,4 servings,"['cook', 'veg', 'indian', 'indian', 'pregnanc', 'recip', 'indian', 'salad', 'pregnanc', 'pregnanc', 'vitamin', 'b', 'complex', 'rich', 'weight', 'loss', 'pregnanc', 'sprout', 'sprout', 'diabet', 'sprout', 'indiansaladsforpregn', 'weightlossafterpregn', 'sproutsweightloss', 'sproutsdiabet', 'sproutedsalad', 'pregnancyvitaminbcomplexrich', 'sproutssnack', 'sproutshealthyheart']",58.0,3.0,10.6,3.1,0.4,8.6
17,"Sweet Lime, Pomegranate and Apple Juice","['sixteen', 'sweet', 'lime', 'mosambi', 'segment', 'zero', 'point', 'seven', 'five', 'pomegran', 'anar', 'zero', 'point', 'seven', 'five', 'appl', 'cube', 'unpeel', 'zero', 'point', 'two', 'five', 'mint', 'leav', 'pudina']","Add the sweet lime, pomegranate, apple and mint leaves a few at a time in a hopper.Pour equal quantities of the juice into 2 small individual glasses.Serve immediately.",20 Mins,4 servings,"['juicer', 'hopper', 'indian', 'beverag', 'indian', 'drink', 'indian', 'juic', 'antioxid', 'rich', 'indian', 'anthocyanin', 'type', 'flavonoid', 'antioxid', 'rich', 'indian', 'juic', 'gluten', 'free', 'veg', 'indian', 'gluten', 'free', 'indian', 'breakfast', 'pregnancytoovercomenauseamorningsick', 'anthocyaninsatypeofflavonoid']",113.0,2.0,24.9,6.2,0.6,12.7
